ProjectCoCID,ProjectID,CoCCode,Geocode,Address1,Address2,City,State,ZIP,GeographyType,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"377","377","OH-507","399133","705 Oakwood St","Ste. 221","Ravenna","OH","44266",2,2021-06-14 09:11:54,2021-06-14 09:11:54,"5",,"42412"
"378","378","OH-507","399129","176 Rustic Dr",,"Circleville","OH","43113",3,2021-06-14 09:11:54,2021-06-14 09:11:54,"5",,"42412"
"379","379","OH-507","399131","Confidential - Partnership Against DV",,"Waverly","OH","45690",3,2021-06-14 09:11:55,2021-06-14 09:11:55,"5",,"42412"
"380","380","OH-507","393054","218 Putnam St.",,"Marietta","OH","45750",2,2021-06-14 09:11:55,2021-06-14 09:11:55,"5",,"42412"
"1105","381","OH-507","399133","Confidential - Safe Path Ste. 221",,"Ravenna","OH","44266",2,2021-06-30 15:12:30,2021-06-30 15:12:30,"24",,"42412"
"382","382","OH-507","399133","Confidential - Safer Futures",,"Ravenna","OH","44266",2,2021-06-14 09:11:57,2021-06-14 09:11:57,"5",,"42412"
"383","383","OH-507","399135","Confidential - YWCA of Greater Dayton",,"Eaton","OH","45320",3,2021-06-14 09:11:57,2021-06-14 09:11:57,"5",,"42412"
"384","384","OH-507","399141","178 West Fourth Street",,"Chillicothe","OH","45601",3,2021-06-14 09:11:58,2021-06-14 09:11:58,"5",,"42412"
"385","385","OH-507","399145","Confidential - Domestic Violence Southern Ohio Shelter",,"Portsmouth","OH","45662",2,2021-06-14 09:11:58,2021-06-14 09:11:58,"5",,"42412"
"386","386","OH-507","399147","201 S Washington St",,"Tiffin","OH","44883",3,2021-06-14 09:11:59,2021-06-14 09:11:59,"5",,"42412"
"387","387","OH-507","399155","760 Main Street SW",,"Warren","OH","44485",2,2021-06-14 09:11:59,2021-06-14 09:11:59,"5",,"42412"
"388","388","OH-507","399155","Confidential - Someplace Safe",,"Warren","OH","44483",1,2021-06-14 09:11:59,2021-06-14 09:11:59,"5",,"42412"
"389","389","OH-507","399157","Confidential - Harbor House",,"New Philadelphia","OH","44663",3,2021-06-14 09:12:00,2021-06-14 09:12:00,"5",,"42412"
"390","390","OH-507","393054","Confidential - EVE Domestic Violence Shelter",,"Marietta","OH","45750",2,2021-06-14 09:12:00,2021-06-14 09:12:00,"5",,"42412"
"1145","391","OH-507","399169","Confidential - Julia's Place",,"Wooster","OH","44691",3,2021-07-01 10:43:14,2021-07-01 10:43:14,"24",,"42412"
"392","392","OH-507","399171","206 W Bement St",,"Bryan","OH","43506",3,2021-06-14 09:12:02,2021-06-14 09:12:02,"5",,"42412"
"393","393","OH-507","390600","Confidential - Cocoon Shelter",,"Bowling Green","OH","43402",2,2021-06-14 09:12:03,2021-06-14 09:12:03,"5",,"42412"
"394","394","OH-507","390600","1045 N Main St Suite 8",,"Bowling Green","OH","43402",2,2021-06-14 09:12:03,2021-06-14 09:12:03,"5",,"42412"
"395","395","OH-507","399057","380 Bellbrook Ave",,"Xenia","OH","45385",2,2021-06-14 09:12:04,2021-06-14 09:12:04,"5",,"42412"
"396","396","OH-507","395016","644 Market Street",,"Steubenville","OH","43952",1,2021-06-14 09:12:04,2021-06-14 09:12:04,"5",,"42412"
"1351","397","OH-507","399143","109 South Front Street",,"Fremont","OH","43420",3,2024-02-05 14:53:43,2024-02-05 14:53:43,"27",,"42412"
"1223","397","OH-501",,,,,,,,2021-08-11 17:08:44,2024-02-05 14:53:43,"27",2024-02-05 14:53:43,"42412"
