HMISParticipationID,ProjectID,HMISParticipationType,HMISParticipationStatusStartDate,HMISParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"78","78",1,2005-06-29,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"79","79",1,2005-06-30,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"80","80",1,2005-07-21,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"81","81",1,2005-08-11,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"82","82",1,2005-08-16,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"83","83",1,2005-08-18,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"84","84",1,2005-09-26,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"85","85",1,2005-11-02,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"86","86",1,2005-11-10,2022-07-27,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"89","89",1,2006-01-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"90","90",1,2006-04-20,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"91","91",1,2006-05-17,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"92","92",1,2006-08-11,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"95","95",1,2006-04-03,2023-12-31,2023-09-30 23:23:54,2023-12-14 12:56:11,"27",,"42412"
"96","96",1,2007-03-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"98","98",1,2007-03-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"99","99",1,2007-04-20,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"100","100",1,2007-06-04,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"101","101",2,2007-06-13,2023-05-01,2023-09-30 23:23:54,2024-03-14 12:28:14,"227",,"42412"
"102","102",1,2007-07-06,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"103","103",1,2007-07-26,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"104","104",1,2007-09-04,2023-12-31,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"105","105",1,2007-12-18,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"106","106",1,2003-03-04,,2023-09-30 23:23:54,2023-12-17 22:42:16,"27",,"42412"
"107","107",1,2008-05-02,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"108","108",1,2008-01-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"109","109",1,2008-05-20,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"111","111",1,2008-10-20,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"115","115",0,2009-02-06,2024-03-17,2023-09-30 23:23:54,2024-03-19 10:07:47,"227",,"42412"
"2103","115",1,2024-03-18,,2024-03-19 10:08:43,2024-03-19 10:08:43,"227",,"42412"
"116","116",1,2006-10-01,,2023-09-30 23:23:54,2023-12-17 22:50:30,"27",,"42412"
"117","117",1,2009-02-26,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"119","119",1,2005-01-05,,2023-09-30 23:23:54,2023-12-17 23:00:07,"27",,"42412"
"120","120",1,2009-05-13,2023-06-28,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"123","123",1,2009-07-06,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"124","124",1,2009-07-07,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"127","127",1,2009-09-10,2024-07-16,2023-09-30 23:23:54,2024-07-17 13:46:30,"227",,"42412"
"2116","127",0,2024-07-17,,2024-07-17 14:09:35,2024-07-17 14:09:35,"227",,"42412"
"129","129",1,2009-10-30,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"130","130",2,2009-11-03,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"131","131",1,2010-01-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"132","132",1,2010-04-21,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"134","134",1,2010-04-27,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"135","135",1,2003-05-18,,2023-09-30 23:23:54,2023-12-17 22:21:47,"27",,"42412"
"136","136",1,2010-06-21,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"137","137",1,2010-05-01,,2023-09-30 23:23:54,2023-12-17 22:51:20,"27",,"42412"
"138","138",1,2010-08-16,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"140","140",1,2009-06-15,,2023-09-30 23:23:54,2023-12-17 22:14:03,"27",,"42412"
"141","141",1,2010-09-09,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"143","143",1,2010-11-02,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"144","144",1,2011-01-19,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"145","145",1,2010-11-16,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"146","146",1,2011-01-31,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"147","147",1,2011-01-31,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"148","148",1,2011-01-31,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"149","149",1,2011-02-08,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"150","150",1,2006-04-01,,2023-09-30 23:23:54,2023-12-17 22:43:57,"27",,"42412"
"154","154",1,2011-04-01,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"155","155",1,2004-07-01,,2023-09-30 23:23:54,2023-12-17 22:23:16,"27",,"42412"
"157","157",1,2011-04-01,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"158","158",1,2011-04-01,2023-09-30,2023-09-30 23:23:54,2024-01-10 13:31:36,"227",,"42412"
"159","159",1,2011-04-04,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"160","160",1,2010-10-01,,2023-09-30 23:23:54,2023-12-17 22:35:30,"27",,"42412"
"162","162",1,2011-04-29,2022-01-24,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"163","163",1,2011-05-05,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"164","164",1,2011-05-31,,2023-09-30 23:23:54,2023-12-17 22:53:30,"27",,"42412"
"169","169",1,2011-08-08,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"170","170",1,2011-08-10,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"171","171",1,2007-01-26,,2023-09-30 23:23:54,2023-12-17 23:01:46,"27",,"42412"
"172","172",1,2012-01-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"173","173",1,2012-01-25,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"174","174",1,2012-01-25,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"178","178",1,2012-08-16,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"179","179",1,2012-11-01,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"181","181",1,2012-11-09,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"182","182",1,2012-07-25,,2023-09-30 23:23:54,2023-12-14 10:46:46,"27",,"42412"
"183","183",1,2012-12-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"184","184",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"185","185",1,2012-12-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
