AffiliationID,ProjectID,ResProjectID,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"1023_422","1023","422",2021-06-16 09:27:46,2024-06-05 16:47:41,"227",,"42412"
"519_171","519","171",2021-06-01 00:00:00,2023-10-04 15:22:53,"27",,"42412"
"795_493","795","493",2021-06-01 00:00:00,2023-10-01 13:36:15,"227",,"42412"
