InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"105","52","OH-507",1,,63,63,,,,,,,63,,2014-12-31,2016-09-30,2021-06-14 09:34:06,2021-07-05 16:20:04,"26",,"42412"
"145","52","OH-507",1,,66,66,,,,,,,66,,2018-10-01,,2021-06-14 09:34:06,2022-01-27 13:27:48,"424",,"42412"
"109","53","OH-507",3,3,0,1,,,,,,,1,2,2014-01-01,2015-09-30,2021-06-14 09:34:06,2021-06-14 09:34:06,"5",,"42412"
"114","53","OH-507",3,1,1,2,,,,,,,2,2,2014-01-01,2022-09-30,2021-06-14 09:34:06,2023-12-04 14:34:41,"424",,"42412"
"120","53","OH-507",1,1,1,1,,,,,,,1,2,2014-01-01,2022-09-30,2021-06-14 09:34:06,2023-12-04 14:34:50,"424",,"42412"
"110","54","OH-507",3,1,3,9,,,,,,,9,1,2017-10-01,,2021-06-14 09:34:06,2021-06-14 09:34:06,"5",,"42412"
"116","54","OH-507",1,1,7,7,,,,,,,7,1,2011-01-01,2014-12-31,2021-06-14 09:34:06,2021-07-20 19:26:33,"30",,"42412"
"125","54","OH-507",3,1,3,12,,,,,,,12,1,2011-01-01,2017-09-30,2021-06-14 09:34:06,2021-06-14 09:34:06,"5",,"42412"
"130","54","OH-507",1,1,7,7,,,,,,,7,1,2017-10-01,,2021-06-14 09:34:06,2021-07-20 19:26:38,"30",,"42412"
"135","54","OH-507",1,1,3,4,,,,,,,4,1,2015-01-01,2017-09-30,2021-06-14 09:34:06,2021-07-20 19:26:42,"30",,"42412"
"121","55","OH-507",3,1,4,12,,,,,,,12,1,2016-01-01,,2021-06-14 09:34:06,2021-06-14 09:34:06,"5",,"42412"
