YouthEducationStatusID,EnrollmentID,PersonalID,InformationDate,CurrentSchoolAttend,MostRecentEdStatus,CurrentEdStatus,DataCollectionStage,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"711016","470474","151977",2023-07-26,,99,,3,2023-07-26 14:43:47,2024-08-22 09:32:38,"753",,"42412"
"699856","470479","151158",2023-06-16,,99,,1,2023-06-20 09:55:07,2024-05-20 11:51:43,"183",,"42412"
"711012","470479","151158",2023-07-26,,99,,3,2023-07-26 14:39:28,2024-05-20 11:52:02,"183",,"42412"
"702143","471445","127094",2023-05-12,,99,,1,2023-06-27 13:01:31,2024-05-20 11:46:55,"183",,"42412"
"707308","471445","127094",2023-07-13,,99,,3,2023-07-13 15:36:39,2024-05-20 11:47:14,"183",,"42412"
"724157","480702","151009",2023-08-29,,99,,1,2023-09-07 14:03:28,2024-05-20 11:41:25,"183",,"42412"
"754771","480702","151009",2023-12-08,,99,,3,2023-12-18 08:26:49,2024-05-20 11:41:53,"183",,"42412"
"735669","485608","125241",2023-10-16,2,,99,1,2023-10-16 11:17:55,2024-12-03 22:37:53,"260",,"42412"
"860395","485608","125241",2024-12-01,2,,99,3,2024-11-19 15:10:57,2024-11-27 11:22:04,"753",,"42412"
"736554","485998","156862",2023-10-16,,99,,1,2023-10-18 13:02:03,2024-12-03 23:16:07,"260",,"42412"
"740856","487698","86662",2023-09-06,,2,,1,2023-11-01 11:08:52,2024-05-20 11:32:20,"183",,"42412"
"797110","487698","86662",2024-05-06,,2,,3,2024-05-06 11:33:13,2024-05-06 11:33:13,"910",,"42412"
"742669","488403","157614",2023-11-02,,2,,1,2023-11-07 13:40:51,2024-05-20 11:29:55,"183",,"42412"
"754030","488403","157614",2023-12-12,,2,,3,2023-12-14 11:16:35,2024-05-20 11:30:17,"183",,"42412"
"752001","492078","159517",2023-12-06,,99,,1,2023-12-08 09:17:47,2024-05-20 11:23:56,"183",,"42412"
"789613","492078","159517",2024-03-27,,99,,3,2024-04-11 10:27:35,2024-08-22 11:14:34,"753",,"42412"
"755022","493248","157327",2023-12-12,,99,,1,2023-12-18 13:36:44,2024-04-01 12:49:06,"657",,"42412"
"797236","493248","157327",2024-05-06,,99,,3,2024-05-06 15:31:15,2024-08-22 10:44:35,"753",,"42412"
"764562","497056","128816",2023-12-19,,99,,1,2024-01-19 15:14:40,2024-05-17 11:16:54,"761",,"42412"
"866481","497056","128816",2024-11-30,,99,,3,2024-12-09 09:29:24,2024-12-09 09:29:24,"910",,"42412"
"770046","499282","149463",2024-01-23,,99,,1,2024-02-05 15:44:49,2024-05-17 16:55:17,"910",,"42412"
"807864","499282","149463",2024-06-11,,99,,3,2024-06-12 08:15:22,2024-08-22 11:44:34,"753",,"42412"
"780401","503535","163138",2024-03-11,,99,,1,2024-03-12 09:22:33,2024-03-12 09:22:33,"183",,"42412"
"793720","503535","163138",2024-04-23,,99,,3,2024-04-25 09:57:29,2024-04-25 09:59:29,"910",,"42412"
"807364","514765","161886",2024-05-23,,99,,1,2024-06-10 15:43:42,2024-06-10 15:43:42,"183",,"42412"
"865920","537822","169944",2024-11-14,,6,,1,2024-12-05 23:48:44,2024-12-05 23:48:44,"910",,"42412"
"10914","189960","942",2020-08-13,,99,,1,2020-08-13 19:42:17,2022-01-13 08:50:43,"277",,"42412"
"575627","189960","942",2022-06-01,,99,,3,2022-05-23 19:56:31,2022-07-18 16:02:18,"475",,"42412"
"13601","192647","4434",2020-12-02,,1,,1,2020-12-02 11:01:52,2022-01-12 22:30:53,"277",,"42412"
"609429","192647","4434",2022-03-31,,1,,3,2022-09-01 17:25:54,2022-09-01 17:25:54,"475",,"42412"
"39293","218339","42994",2020-02-10,,1,,1,2020-02-10 16:05:15,2022-03-16 13:49:10,"277",,"42412"
"576878","218339","42994",2022-01-31,,1,,3,2022-05-26 15:17:22,2022-05-26 15:17:22,"475",,"42412"
"65295","244341","94828",2020-03-30,,99,,1,2020-03-30 12:05:27,2022-01-12 22:39:10,"277",,"42412"
"609190","244341","94828",2022-02-28,,99,,3,2022-09-01 12:32:07,2022-09-01 12:32:07,"475",,"42412"
"66973","246019","100313",2020-10-12,,1,,1,2020-10-12 13:30:15,2022-01-12 22:40:12,"277",,"42412"
"594195","246019","100313",2022-06-30,,1,,3,2022-07-20 10:55:52,2023-07-07 14:35:11,"761",,"42412"
"72254","251300","110159",2021-04-05,,1,,1,2021-04-05 11:23:37,2024-05-17 13:17:52,"753",,"42412"
"699191","251300","110159",2023-01-31,,99,,3,2023-06-15 21:54:04,2024-05-17 15:31:08,"753",,"42412"
"72954","252000","113932",2021-03-31,,99,,1,2021-03-31 17:15:04,2022-01-12 22:44:56,"277",,"42412"
"699276","252000","113932",2023-02-28,,2,,3,2023-06-16 09:48:53,2024-05-17 15:32:01,"753",,"42412"
"542802","403448","122474",2022-01-10,,99,,1,2022-02-17 16:40:16,2023-03-13 12:36:31,"475",,"42412"
"591008","403448","122474",2022-07-06,,99,,3,2022-07-11 12:08:05,2022-07-11 12:08:05,"475",,"42412"
"543656","403835","99158",2022-02-09,,99,,1,2022-02-21 11:28:26,2022-02-21 11:28:26,"277",,"42412"
"585029","403835","99158",2022-06-21,,2,,3,2022-06-22 10:32:29,2022-06-22 10:32:29,"475",,"42412"
"548491","406156","89036",2022-02-23,,99,,1,2022-03-08 13:17:31,2022-03-08 13:17:31,"277",,"42412"
"570965","406156","89036",2022-05-02,,99,,3,2022-05-09 11:56:40,2022-05-09 11:56:40,"475",,"42412"
"548600","406211","122302",2022-02-23,,99,,1,2022-03-08 16:20:16,2022-03-14 14:26:09,"277",,"42412"
